brainfuck@ubuntu:~$ readelf -s libc-2.23.so

Symbol table '.dynsym' contains 2415 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
     0: 00000000     0 NOTYPE  LOCAL  DEFAULT  UND
     1: 00000000     0 OBJECT  GLOBAL DEFAULT  UND _[...]@GLIBC_2.1 (36)
     2: 00000000     0 OBJECT  GLOBAL DEFAULT  UND [...]@GLIBC_PRIVATE (37)
     3: 00000000     0 OBJECT  GLOBAL DEFAULT  UND [...]@GLIBC_PRIVATE (37)
     4: 00000000     0 NOTYPE  WEAK   DEFAULT  UND _IO_stdin_used
     5: 00000000     0 OBJECT  GLOBAL DEFAULT  UND [...]@GLIBC_PRIVATE (37)
     6: 00000000     0 FUNC    GLOBAL DEFAULT  UND [...]@GLIBC_PRIVATE (37)
     7: 00000000     0 NOTYPE  WEAK   DEFAULT  UND _dl_starting_up
     8: 00000000     0 FUNC    GLOBAL DEFAULT  UND _[...]@GLIBC_2.3 (38)
     9: 00000000     0 OBJECT  GLOBAL DEFAULT  UND [...]@GLIBC_PRIVATE (37)
    10: 000617b0   299 FUNC    GLOBAL DEFAULT   13 putwchar@@GLIBC_2.2
    11: 0007dea0    37 FUNC    GLOBAL DEFAULT   13 __s[...]@@GLIBC_2.1.1
    12: 000f6f60    48 FUNC    GLOBAL DEFAULT   13 __get[...]@@GLIBC_2.4
    13: 0007ded0    54 FUNC    GLOBAL DEFAULT   13 __s[...]@@GLIBC_2.1.1
    14: 0010d500   163 FUNC    GLOBAL DEFAULT   13 setrpcent@@GLIBC_2.0
    15: 00096ac0    39 FUNC    GLOBAL DEFAULT   13 __wcstod_l@@GLIBC_2.1
    16: 0007df10    84 FUNC    GLOBAL DEFAULT   13 __s[...]@@GLIBC_2.1.1
    17: 000e78e0    32 FUNC    GLOBAL DEFAULT   13 epo[...]@@GLIBC_2.3.2
    18: 000cbe40    32 FUNC    WEAK   DEFAULT   13 sched[...]@@GLIBC_2.0
    19: 000f6f90    38 FUNC    GLOBAL DEFAULT   13 __get[...]@@GLIBC_2.4
    20: 000e7ad0    38 FUNC    GLOBAL DEFAULT   13 klogctl@@GLIBC_2.0
    21: 000252e0    15 FUNC    GLOBAL DEFAULT   13 __tol[...]@@GLIBC_2.1
    22: 00049730    41 FUNC    GLOBAL DEFAULT   13 dprintf@@GLIBC_2.0
    23: 000b13c0   119 FUNC    WEAK   DEFAULT   13 setuid@@GLIBC_2.0
    24: 0009c660  3008 FUNC    GLOBAL DEFAULT   13 __wcs[...]@@GLIBC_2.1
    25: 000ea540   159 FUNC    WEAK   DEFAULT   13 iswalpha@@GLIBC_2.0
    26: 000debd0    36 FUNC    WEAK   DEFAULT   13 _[...]@@GLIBC_PRIVATE
    27: 000fe0c0    26 FUNC    GLOBAL DEFAULT   13 _[...]@@GLIBC_PRIVATE
    28: 000dfc30    32 FUNC    GLOBAL DEFAULT   13 chroot@@GLIBC_2.0
    29: 000a16b0   209 IFUNC   GLOBAL DEFAULT   13 __get[...]@@GLIBC_2.0
    30: 000682f0    70 FUNC    GLOBAL DEFAULT   13 _IO_f[...]@@GLIBC_2.1
    31: 001b4b04     4 OBJECT  WEAK   DEFAULT   34 daylight@@GLIBC_2.0
    32: 00120ce0    70 FUNC    GLOBAL DEFAULT   13 _IO_fi[...]@GLIBC_2.0
    33: 000a44d0    66 FUNC    GLOBAL DEFAULT   13 getdate@@GLIBC_2.1
    34: 000f66f0   239 FUNC    GLOBAL DEFAULT   13 __vsw[...]@@GLIBC_2.4
    35: 00121640   332 FUNC    GLOBAL DEFAULT   13 _IO_fi[...]@GLIBC_2.0
    36: 000f38b0    61 FUNC    GLOBAL DEFAULT   13 pth[...]@@GLIBC_2.3.2
    37: 00124820    61 FUNC    GLOBAL DEFAULT   13 pthrea[...]@GLIBC_2.0
    38: 00069b60  1309 FUNC    GLOBAL DEFAULT   13 _IO_f[...]@@GLIBC_2.1
    39: 00031860    30 FUNC    WEAK   DEFAULT   13 strtoull_l@@GLIBC_2.3
    40: 00115010   113 FUNC    GLOBAL DEFAULT   13 xdr_short@@GLIBC_2.0
    41: 000e4940    90 FUNC    GLOBAL DEFAULT   13 lfind@@GLIBC_2.0
    42: 0005f590   219 FUNC    GLOBAL DEFAULT   13 _IO_padn@@GLIBC_2.0
    43: 00078410  1266 FUNC    WEAK   DEFAULT   13 strcasestr@@GLIBC_2.1
    44: 000b04d0   921 FUNC    GLOBAL DEFAULT   13 _[...]@@GLIBC_PRIVATE
    45: 00115560   189 FUNC    GLOBAL DEFAULT   13 xdr[...]@@GLIBC_2.1.1
    46: 00096ac0    39 FUNC    WEAK   DEFAULT   13 wcstod_l@@GLIBC_2.3
    47: 000e86f0    74 FUNC    WEAK   DEFAULT   13 socket@@GLIBC_2.0
    48: 00112000   192 FUNC    GLOBAL DEFAULT   13 key_e[...]@@GLIBC_2.1
    49: 000795a0   187 FUNC    WEAK   DEFAULT   13 argz_[...]@@GLIBC_2.0
    50: 00061a60    77 FUNC    GLOBAL DEFAULT   13 putch[...]@@GLIBC_2.0
    51: 0007da50    52 FUNC    GLOBAL DEFAULT   13 __s[...]@@GLIBC_2.1.1
    52: 00109240   197 FUNC    GLOBAL DEFAULT   13 xdr_p[...]@@GLIBC_2.0
    53: 000f4f10    69 FUNC    GLOBAL DEFAULT   13 __s[...]@@GLIBC_2.3.4
    54: 0003c650   196 FUNC    GLOBAL DEFAULT   13 __xpg[...]@@GLIBC_2.0
    55: 001057c0   242 FUNC    GLOBAL DEFAULT   13 __res_init@@GLIBC_2.2
    56: 000f7760    63 FUNC    GLOBAL DEFAULT   13 __pp[...]@@GLIBC_2.16
    57: 000ede30   480 FUNC    WEAK   DEFAULT   13 fget[...]@@GLIBC_2.10
    58: 00065a40   258 FUNC    WEAK   DEFAULT   13 getc@@GLIBC_2.0
    59: 000912b0   241 FUNC    WEAK   DEFAULT   13 wcpncpy@@GLIBC_2.0
    60: 000623c0   282 FUNC    GLOBAL DEFAULT   13 _IO_w[...]@@GLIBC_2.2
    61: 000e0170    48 FUNC    GLOBAL DEFAULT   13 mkdtemp@@GLIBC_2.2
    62: 0002fd30    64 FUNC    WEAK   DEFAULT   13 srand48_r@@GLIBC_2.0
    63: 0002cf80   103 FUNC    GLOBAL DEFAULT   13 sighold@@GLIBC_2.1
    64: 000cbd80    36 FUNC    GLOBAL DEFAULT   13 __sch[...]@@GLIBC_2.0
    65: 00073480    27 FUNC    GLOBAL DEFAULT   13 __def[...]@@GLIBC_2.0
    66: 000fce30    31 FUNC    GLOBAL DEFAULT   13 iruserok@@GLIBC_2.0
    67: 0003f100   148 FUNC    GLOBAL DEFAULT   13 cuserid@@GLIBC_2.0
    68: 0002b210    36 FUNC    WEAK   DEFAULT   13 isnan@@GLIBC_2.0
    69: 0002f500   219 FUNC    WEAK   DEFAULT   13 setstate_r@@GLIBC_2.0
    70: 00091220    96 FUNC    WEAK   DEFAULT   13 wmemset@@GLIBC_2.0
    71: 00000000     0 OBJECT  GLOBAL DEFAULT  ABS GCC_3.0
    72: 00069040    25 FUNC    GLOBAL DEFAULT   13 _IO_f[...]@@GLIBC_2.0
    73: 0011eaa0    34 FUNC    GLOBAL DEFAULT   13 __regis[...]@@GCC_3.0
    74: 00079b00   788 FUNC    WEAK   DEFAULT   13 argz_[...]@@GLIBC_2.0
    75: 000b67a0    92 FUNC    GLOBAL DEFAULT   13 globfree64@@GLIBC_2.1
    76: 000f3230    42 FUNC    WEAK   DEFAULT   13 argp_usage@@GLIBC_2.1
    77: 000e7ee0    36 FUNC    GLOBAL DEFAULT   13 timer[...]@@GLIBC_2.8
    78: 00162d64     4 OBJECT  GLOBAL DEFAULT   16 _sys_nerr@@GLIBC_2.12
    79: 00162d74     4 OBJECT  GLOBAL DEFAULT   16 _sys_nerr@GLIBC_2.4
    80: 00162d6c     4 OBJECT  GLOBAL DEFAULT   16 _sys_nerr@GLIBC_2.1
    81: 00162d68     4 OBJECT  GLOBAL DEFAULT   16 _sys_nerr@GLIBC_2.0
    82: 00162d70     4 OBJECT  GLOBAL DEFAULT   16 _sys_nerr@GLIBC_2.3
    83: 000e7850    36 FUNC    GLOBAL DEFAULT   13 cloc[...]@@GLIBC_2.14
